id,userage,usergender,userphone,phoneos,batteryhealth,startbatterypercentage,endbatterypercentage,sessionlength,timedonphone,appcount,screenbrightness,usednetwork,usedbluetooth,usedGPS,usedbatterysaving
1,20,Man,iPhone 12,iOs,97,70,62,1212.0,No,5,,Yes,Yes,No,No
2,20,Man,iPhone 12,iOs,97,54,42,1159.0,Yes,3,100.0,Yes,No,No,No
3,20,Man,ROG Phone 8 Pro Edition ,Android,95,62,53,1923.0,Yes,3,80.0,Yes,No,No,No
4,22,Woman,iPhone 11 ,iOs,76,69,56,600.0,No,1,100.0,Yes,No,No,No
5,27,Man,Iphone 12,iOs,79,52,32,1500.0,Yes,3,35.0,Yes,No,No,No
6,26,Woman,Samsung Galaxy S24 Ultra,Android,95,80,78,956.0,No,1,10.0,Yes,Yes,No,No
7,20,Man,iPhone 12,iOs,97,100,93,1508.0,Yes,8,5.0,Yes,No,No,No
8,26,Man,iPhone 17 Pro Max,iOs,100,100,73,18034.0,No,4,100.0,Yes,No,No,No
9,26,Man,iPhone 17 Pro,iOs,100,100,66,18034.0,No,4,100.0,Yes,No,No,No
10,25,Man,iPhone Air,iOs,100,100,51,18034.0,No,4,100.0,Yes,No,No,No
11,25,Man,iPhone 17,iOs,100,100,64,18034.0,No,4,100.0,Yes,No,No,No
12,26,Man,iPhone 16 Pro Max,iOs,100,100,71,18034.0,No,4,100.0,Yes,No,No,No
13,24,Man,iPhone 16,iOs,100,100,64,18034.0,No,4,100.0,Yes,No,No,No
14,25,Man,Samsung Galaxy S25 Ultra,Android,100,100,69,18034.0,No,4,100.0,Yes,No,No,No
15,23,Prefer not to say,Samsung Z Fold 7,Android,100,100,66,18000.0,No,5,100.0,Yes,No,No,No
16,24,Prefer not to say,Samsung Z Flip 7,Android,100,100,73,18000.0,No,5,100.0,Yes,No,No,No
17,24,Prefer not to say,Samsung Galaxy S25 Ultra,Android,100,100,73,18000.0,No,5,100.0,Yes,No,No,No
18,21,Man,Samsung Galaxy S25 Edge,Android,100,100,69,18000.0,No,5,100.0,Yes,No,No,No
19,19,Man,Iphone 13,iOs,80,46,42,942.0,No,4,50.0,Yes,No,Yes,No
20,20,Man,ROG Phone 8 Pro Edition,Android,95,70,59,2194.0,No,1,40.0,Yes,No,No,Yes
21,27,Man,iPhone 13 Pro,iOs,77,71,67,740.0,Yes,1,100.0,Yes,Yes,Yes,No
22,20,Man,iPhone 12,iOs,97,86,80,1617.0,Yes,5,75.0,Yes,Yes,No,Yes
23,46,Man,iPhone 13 Pro Max,iOs,92,94,90,320.3,No,3,47.0,Yes,Yes,No,Yes
24,72,Man,iPhone Air,iOs,80,95,89,185.6,No,6,82.0,No,No,No,No
25,56,Man,Xiaomi 12,Android,90,99,98,543.6,No,4,49.0,Yes,Yes,No,No
26,16,Woman,iPhone 15 Pro Max,iOs,96,73,67,771.6,Yes,8,87.0,Yes,No,No,No
27,18,Man,iPhone 13 Pro Max,iOs,94,80,75,375.3,No,4,98.0,Yes,Yes,Yes,No
28,60,Woman,iPhone 15,iOs,81,98,93,722.7,Yes,7,81.0,Yes,No,No,No
29,42,Woman,Galaxy S8 Edge,Android,84,87,86,693.7,Yes,5,51.0,No,No,No,No
30,23,Man,Samsung Galaxy S23 Ultra,Android,98,85,84,60.0,No,6,22.0,Yes,No,No,Yes
31,69,Woman,Galaxy S23 Edge,Android,83,86,84,959.0,Yes,6,26.0,Yes,No,Yes,No
32,38,Prefer not to say,Google Pixel 7,Android,91,73,72,879.1,Yes,5,83.0,No,Yes,No,No
