id,userage,usergender,userphone,phoneos,batteryhealth,startbatterypercentage,endbatterypercentage,sessionlength,timedonphone,appcount,screenbrightness,usednetwork,usedbluetooth,usedGPS,usedbatterysaving,batterycapacity_mAh,estimated_fullbattery_life_s
1,20,Man,iPhone 12,iOs,97,70,62,1212.0,No,5,,Yes,Yes,No,No,2815,15150.0
2,20,Man,iPhone 12,iOs,97,54,42,1159.0,Yes,3,100.0,Yes,No,No,No,2815,9658.333333333332
3,20,Man,ROG Phone 8 Pro Edition ,Android,95,62,53,1923.0,Yes,3,80.0,Yes,No,No,No,5500,21366.666666666664
4,22,Woman,iPhone 11 ,iOs,76,69,56,600.0,No,1,100.0,Yes,No,No,No,3110,4615.384615384615
5,27,Man,Iphone 12,iOs,79,52,32,1500.0,Yes,3,35.0,Yes,No,No,No,2815,7500.0
6,26,Woman,Samsung Galaxy S24 Ultra,Android,95,80,78,956.0,No,1,10.0,Yes,Yes,No,No,5000,47800.0
7,20,Man,iPhone 12,iOs,97,100,93,1508.0,Yes,8,5.0,Yes,No,No,No,2815,21542.85714285714
8,26,Man,iPhone 17 Pro Max,iOs,100,100,73,18034.0,No,4,100.0,Yes,No,No,No,5088,66792.5925925926
9,26,Man,iPhone 17 Pro,iOs,100,100,66,18034.0,No,4,100.0,Yes,No,No,No,4252,53041.17647058823
10,25,Man,iPhone Air,iOs,100,100,51,18034.0,No,4,100.0,Yes,No,No,No,3149,36804.08163265306
11,25,Man,iPhone 17,iOs,100,100,64,18034.0,No,4,100.0,Yes,No,No,No,3692,50094.444444444445
12,26,Man,iPhone 16 Pro Max,iOs,100,100,71,18034.0,No,4,100.0,Yes,No,No,No,4685,62186.206896551725
13,24,Man,iPhone 16,iOs,100,100,64,18034.0,No,4,100.0,Yes,No,No,No,3561,50094.444444444445
14,25,Man,Samsung Galaxy S25 Ultra,Android,100,100,69,18034.0,No,4,100.0,Yes,No,No,No,5000,58174.1935483871
15,23,Prefer not to say,Samsung Z Fold 7,Android,100,100,66,18000.0,No,5,100.0,Yes,No,No,No,4400,52941.17647058823
16,24,Prefer not to say,Samsung Z Flip 7,Android,100,100,73,18000.0,No,5,100.0,Yes,No,No,No,4300,66666.66666666666
17,24,Prefer not to say,Samsung Galaxy S25 Ultra,Android,100,100,73,18000.0,No,5,100.0,Yes,No,No,No,5000,66666.66666666666
18,21,Man,Samsung Galaxy S25 Edge,Android,100,100,69,18000.0,No,5,100.0,Yes,No,No,No,4000,58064.51612903226
19,19,Man,Iphone 13,iOs,80,46,42,942.0,No,4,50.0,Yes,No,Yes,No,3227,23550.0
20,20,Man,ROG Phone 8 Pro Edition,Android,95,70,59,2194.0,No,1,40.0,Yes,No,No,Yes,5500,19945.454545454548
21,27,Man,iPhone 13 Pro,iOs,77,71,67,740.0,Yes,1,100.0,Yes,Yes,Yes,No,3095,18500.0
22,20,Man,iPhone 12,iOs,97,86,80,1617.0,Yes,5,75.0,Yes,Yes,No,Yes,2815,26950.0
23,68,Man,iPhone 11,iOs,84,95,88,1034.8,Yes,5,73.0,Yes,Yes,Yes,No,3110,14782.857142857141
