Id,userage,usergender,userphone,phoneos,batteryhealth,startbatterypercentage,endbatterypercentage,sessionlength,timedonphone,appcount,screenbrightness,usednetwork,usedbluetooth,usedGPS,usedbatterysaving,batterycapacity_mAh,estimated_remaining_life_s
1,20,Man,iPhone 12,iOs,97,70,62,1212,No,5,75,Yes,Yes,No,No,2815,10605.0
2,20,Man,iPhone 12,iOs,97,54,42,1159,Yes,3,100,Yes,No,No,No,2815,5216.0
3,20,Man,ROG Phone 8 Pro Edition ,Android,95,62,53,1923,Yes,3,80,Yes,No,No,No,5500,13247.0
4,22,Woman,iPhone 11 ,iOs,76,69,56,600,No,1,100,Yes,No,No,No,3110,3185.0
5,27,Man,Iphone 12,iOs,79,52,32,1500,Yes,3,35,Yes,No,No,No,2815,3900.0
6,26,Woman,Samsung Galaxy S24 Ultra,Android,95,80,78,956,No,1,10,Yes,Yes,No,No,5000,38240.0
7,20,Man,iPhone 12,iOs,97,100,93,1508,Yes,8,5,Yes,No,No,No,2815,21543.0
8,26,Man,iPhone 17 Pro Max,iOs,100,100,73,18034,No,4,100,Yes,No,No,No,5088,66793.0
9,26,Man,iPhone 17 Pro,iOs,100,100,66,18034,No,4,100,Yes,No,No,No,4252,53041.0
10,25,Man,iPhone Air,iOs,100,100,51,18034,No,4,100,Yes,No,No,No,3149,36804.0
11,25,Man,iPhone 17,iOs,100,100,64,18034,No,4,100,Yes,No,No,No,3692,50094.0
12,26,Man,iPhone 16 Pro Max,iOs,100,100,71,18034,No,4,100,Yes,No,No,No,4685,62186.0
13,24,Man,iPhone 16,iOs,100,100,64,18034,No,4,100,Yes,No,No,No,3561,50094.0
14,25,Man,Samsung Galaxy S25 Ultra,Android,100,100,69,18034,No,4,100,Yes,No,No,No,5000,58174.0
15,23,Prefer not to say,Samsung Z Fold 7,Android,100,100,66,18000,No,5,100,Yes,No,No,No,4400,52941.0
16,24,Prefer not to say,Samsung Z Flip 7,Android,100,100,73,18000,No,5,100,Yes,No,No,No,4300,66667.0
17,24,Prefer not to say,Samsung Galaxy S25 Ultra,Android,100,100,73,18000,No,5,100,Yes,No,No,No,5000,66667.0
18,21,Man,Samsung Galaxy S25 Edge,Android,100,100,69,18000,No,5,100,Yes,No,No,No,3900,58065.0
19,19,Man,Iphone 13,iOs,80,46,42,942,No,4,50,Yes,No,Yes,No,3227,10833.0
20,20,Man,ROG Phone 8 Pro Edition,Android,95,70,59,2194,No,1,40,Yes,No,No,Yes,5500,13962.0
21,27,Man,iPhone 13 Pro,iOs,77,71,67,740,Yes,1,100,Yes,Yes,Yes,No,3095,13135.0
22,20,Man,iPhone 12,iOs,97,86,80,1617,Yes,5,75,Yes,Yes,No,Yes,2815,23177.0
23,20,Man,ROG Phone 8 Pro Edition,Android,95,55,51,922,No,1,80,Yes,No,No,No,5500,12678.0
24,23,Man,iPhone 15 Pro Max,iOs,100,100,70,15132,No,4,45,Yes,No,No,No,4422,50440.0
25,22,Man,iPhone 15 Pro,iOs,100,100,54,15132,No,4,45,Yes,No,No,No,3274,32896.0
26,21,Prefer not to say,iPhone 15 Plus,iOs,100,100,72,15132,No,4,45,Yes,No,No,No,3349,54043.0
27,21,Prefer not to say,iPhone 15,iOs,100,100,65,15132,No,4,45,Yes,No,No,No,3349,43234.0
28,20,Man,iPhone 14 Pro Max,iOs,100,100,63,15132,No,4,45,Yes,No,No,No,4323,40897.0
29,21,Man,iPhone 14,iOs,100,100,55,15132,No,4,45,Yes,No,No,No,3279,33627.0
30,22,Prefer not to say,iPhone 13 Pro Max,iOs,100,100,67,15132,No,4,45,Yes,No,No,No,4352,45855.0
31,23,Man,iPhone 15,iOs,100,100,39,21663,No,6,45,Yes,No,No,No,3349,35513.0
32,22,Prefer not to say,Google Pixel 8,Android,100,100,44,21663,No,6,45,Yes,No,No,No,4575,38684.0
33,22,Prefer not to say,Samsung Galaxy S23,Android,100,100,43,21663,No,6,45,Yes,No,No,No,3900,38005.0
34,20,Prefer not to say,Samsung Galaxy S24,Android,100,100,62,18010,No,5,90,Yes,No,No,No,4000,47395.0
35,21,Prefer not to say,Google Pixel 8,Android,100,100,61,18010,No,5,90,Yes,No,No,No,4575,46179.0
36,23,Prefer not to say,iPhone 15,iOs,100,100,54,18010,No,5,90,Yes,No,No,No,3349,39152.0
37,20,Prefer not to say,Huawei Nova 13,Android,100,100,66,18010,No,5,90,Yes,No,No,No,5000,52971.0
38,23,Prefer not to say,Nothing Phone 3a,Android,100,100,64,18010,No,5,90,Yes,No,No,No,5000,50028.0
39,53,Woman,iPhone 12 Pro,iOs,88,100,97,1285,Yes,1,25,Yes,No,No,No,2815,42833.0
40,53,Woman,iPhone 12 Pro,iOs,88,55,50,1074,Yes,1,50,Yes,No,No,No,2815,11814.0
41,53,Woman,iPhone 12 Pro,iOs,88,68,63,933,Yes,2,50,Yes,No,No,No,2815,12689.0
42,53,Woman,Samsung A34,Android,95,54,54,135,Yes,2,85,Yes,No,No,No,5000,
43,23,Man,Samsung A35,Android,100,71,70,600,Yes,3,40,Yes,Yes,Yes,Yes,5000,42600.0
44,56,Man,iPhone 16e,iOs,99,97,92,2800,No,21,50,Yes,No,No,No,3561,54320.0
45,53,Prefer not to say,iPhone 11,iOs,94,65,63,1800,Yes,2,60,Yes,No,No,No,3110,58500.0
46,19,Man,iPhone 16 Pro,iOs,94,85,82,2075,Yes,5,50,Yes,Yes,No,No,3582,58792.0
47,51,Man,iPhone 13,iOs,89,88,86,1800,Yes,14,25,Yes,No,No,No,3227,79200.0
48,56,Man,iPhone 16e,iOs,99,96,94,9056,Yes,11,50,Yes,No,No,No,3561,434688.0
49,54,Woman,iPhone ,iOs,83,48,27,3900,Yes,6,10,Yes,No,No,No,3000,8914.0
50,81,Man,iPhone 8,iOs,76,81,78,300,No,2,80,Yes,No,No,Yes,1821,8100.0
51,81,Man,iPhone 8,iOs,74,74,72,420,No,2,80,Yes,No,No,Yes,1821,15540.0
52,52,Woman,Experia XQ-BQ52,Android,75,37,34,600,Yes,4,95,Yes,No,No,No,4500,7400.0
53,55,Prefer not to say,iPhone,iOs,95,93,92,900,Yes,17,20,Yes,No,No,No,3000,83700.0
